# of Players (N),Height,N * Height,N * (height - mean)^2,,Total # of Players,4352
2,5.25,10.5,3.117249882,,Mean,6.498449014
1,5.41667,5.41667,1.170245836,,Sample Variance (self),0.092956768
2,5.5,11,1.993800868,,Sample STDEV (self),0.304888124
6,5.58333,33.49998,5.024656861,,Population Variance (self),0.092935409
3,5.66667,17.00001,2.075568986,,Population STDEV (self),0.304853093
14,5.75,80.5,7.842462977,,,
46,5.83333,268.33318,20.34963194,,,
61,5.91667,360.91687,20.64647611,,,
146,6,876,36.27390729,,,
222,6.08333,1350.49926,38.25588271,,,
321,6.16667,1979.50107,35.33481789,,,
388,6.25,2425,23.95004212,,,
329,6.33333,2083.66557,8.969951037,,,
397,6.41667,2547.41799,2.655059447,,,
379,6.5,2463.5,0.000911706,,,
450,6.58333,2962.4985,3.242151784,,,
410,6.66667,2733.3347,11.60230302,,,
401,6.75,2706.75,25.37443727,,,
303,6.83333,2070.49899,33.98001821,,,
219,6.91667,1514.75073,38.30502565,,,
154,7,1078,38.73922226,,,
47,7.08333,332.91651,16.07803107,,,
26,7.16667,186.33342,11.60950143,,,
13,7.25,94.25,7.342775494,,,
4,7.33333,29.33332,2.788105041,,,
4,7.41667,29.66668,3.372519115,,,
2,7.5,15,2.006208754,,,
2,7.58333,15.16666,2.353933506,,,
